epoch,step,train/bpd,train/nll,train/ppl,trainer/loss,trainer/lr,val/bpd,val/nll,val/ppl
0,0,,,,,,4.9099729611122696,3.4033339146205357,30.06416450913764
0,0,4.123400849764956,2.858123673333062,17.428794126269132,,,,,
1,1,,,,,,4.900352719415814,3.3966656712123324,29.864356267700945
1,1,4.225309360625548,2.928761270311144,18.704446387161713,,,,,
2,2,,,,,,4.858795350557552,3.3678602981567383,29.016374197859648
2,2,4.342321576894549,3.009867958109073,20.28472131544105,,,,,
3,3,,,,,,4.634639704660247,3.2124874441964284,24.840799541205175
3,3,4.973316264861883,3.4472401470219323,31.413575712849998,,,,,
4,4,,,,,,8.623052464153105,5.977044503348214,394.2733708490483
4,4,4.4498718160627515,3.08441610315706,21.85470222419577,,,,,
5,5,,,,,,4.6794205119126175,3.243527134486607,25.62394163320039
5,5,4.5777483646799775,3.1730533722908265,23.88028856208569,,,,,
6,6,,,,,,5.295947975550659,3.6708714076450892,39.28612517847785
6,6,4.5570943527677725,3.15873710216663,23.540847463128504,,,,,
7,7,,,,,,4.345212629176816,3.011871882847377,20.325411126337443
7,7,4.535693036118084,3.143902839870628,23.19421374149073,,,,,
8,8,,,,,,4.8170263192112195,3.338908211844308,28.188334209607497
8,8,4.496400044570808,3.116667013563868,22.571025214399782,,,,,
,9,,,,,1.0799999999999998e-06,,,
9,9,,,,3.290083408355713,,,,
9,9,,,,,,4.108624127483266,2.8478812299455916,17.2511917827444
9,9,4.7582474379331074,3.298165796009917,27.062954389879728,,,,,
10,10,,,,,,4.772045123670613,3.3077296229771207,27.323021438724965
10,10,4.23106912052396,2.9327536316454306,18.779270558877208,,,,,
11,11,,,,,,4.690415168196193,3.2511480494907925,25.819965506369726
11,11,4.381009464754474,3.036684358500999,20.83604372685165,,,,,
12,12,,,,,,4.096084198236867,2.839189213344029,17.10189392705971
12,12,5.09482485408822,3.5314634830579843,34.17394402412408,,,,,
13,13,,,,,,4.579306686640187,3.174133518763951,23.906096707332516
13,13,4.7085433272442625,3.2637135318237043,26.146452765940996,,,,,
14,14,,,,,,3.798578631815116,2.632974068777902,13.91509286623755
14,14,4.085243852487421,2.8316752582515052,16.973872639531848,,,,,
15,15,,,,,,4.4855881158434885,3.1091727556501114,22.40250438806489
15,15,4.516067549901549,3.1302994894325185,22.880831083524278,,,,,
16,16,,,,,,4.542593740815557,3.148686043875558,23.305422151778572
16,16,4.371019330248684,3.029759724934896,20.69226015788119,,,,,
17,17,,,,,,3.9161700141367644,2.7144822038922993,15.096790988112112
17,17,6.567916676984068,4.552532926804152,94.87240910238542,,,,,
18,18,,,,,,4.593895092396191,3.1842454310825894,24.149059399581635
18,18,4.607244191360288,3.193498321392569,24.37354496582846,,,,,
,19,,,,,2.2799999999999998e-06,,,
19,19,,,,2.8911468982696533,,,,
19,19,,,,,,4.537419559229918,3.1450995744977677,23.221987675924233
19,19,4.163492537910852,2.885913113935278,17.919923058646983,,,,,
20,20,,,,,,4.221482610149683,2.9261087690080916,18.65489856063467
20,20,5.195553168463963,3.6012830301700864,36.64522121892057,,,,,
21,21,,,,,,4.925181778065753,3.4138758632114956,30.38277582721898
21,21,4.420579247820151,3.0641120420683414,21.415437534356183,,,,,
22,22,,,,,,5.419696108773339,3.7566470772879463,42.804664371312974
22,22,4.30061524323229,2.980959330519585,19.706712830528364,,,,,
23,23,,,,,,4.657172065714729,3.2281056867327007,25.231814709791582
23,23,5.205859611041858,3.6084269117845573,36.907947667011996,,,,,
24,24,,,,,,4.34953962618982,3.0148711286272323,20.38646353971223
24,24,4.071194254889444,2.8219368192884655,16.809375887686226,,,,,
25,25,,,,,,3.4828348064759442,2.4141171264648436,11.179895565177393
25,25,4.365554594666039,3.02597185887328,20.61402890618067,,,,,
26,26,,,,,,4.789182096105642,3.3196080671037946,27.649511681407294
26,26,4.293819160460606,2.9762486449075403,19.614099010494293,,,,,
27,27,,,,,,4.3801679634130455,3.03610107421875,20.823893933777665
