epoch,step,train/bpd,train/nll,train/ppl,val/bpd,val/nll,val/ppl
0,0,,,,4.9099729611122696,3.4033339146205357,30.06416450913764
0,0,4.123400849764956,2.858123673333062,17.428794126269132,,,
1,1,,,,4.900352719415814,3.3966656712123324,29.864356267700945
1,1,4.225309360625548,2.928761270311144,18.704446387161713,,,
2,2,,,,4.858795350557552,3.3678602981567383,29.016374197859648
2,2,4.342321422140389,3.009867850841663,20.284719139551655,,,
3,3,,,,4.634639704660247,3.2124874441964284,24.840799541205175
3,3,4.973316264861883,3.4472401470219323,31.413575712849998,,,
4,4,,,,8.623052464153105,5.977044503348214,394.2733708490483
4,4,4.4498718160627515,3.08441610315706,21.85470222419577,,,
5,5,,,,4.6794205119126175,3.243527134486607,25.62394163320039
5,5,4.5777483646799775,3.1730533722908265,23.88028856208569,,,
6,6,,,,5.295947975550659,3.6708714076450892,39.28612517847785
6,6,4.5570943527677725,3.15873710216663,23.540847463128504,,,
7,7,,,,4.34521259772856,3.0118718610491073,20.32541068327865
7,7,4.535693036118084,3.143902839870628,23.19421374149073,,,
8,8,,,,4.8170263192112195,3.338908211844308,28.188334209607497
